id,description,price
HT3000-D4,"4.3 inch 800x480, 4G + 512M + SD, 1 LAN (EtherNet Port), 1 USB, 2 COM, ",$299.00
HT3000-D4E,"4.3 inch 800x480, 4G + 512M + SD, 1 LAN (EtherNet Port), 1 USB, 2 COM, Global 4G available",$598.00
HT3000-D4W,"4.3 inch 800x480, 4G + 512M + SD, 1 LAN (EtherNet Port), 1 USB, 2 COM, WIFI available",$338.87
HT3000-B7H,"7 inch 1024*600, 2G + 512M + SD, 1 LAN (EtherNet Port), 2 USB, 2 COM, ",$299.00
HT3000-B7HE,"7 inch 1024*600, 4G + 512M + SD, 1 LAN (EtherNet Port), 2 USB, 2 COM, Global 4G available",$637.87
HT3000-B7HW,"7 inch 1024*600, 4G + 512M + SD, 1 LAN (EtherNet Port), 2 USB, 3 COM, WIFI available",$338.87
HT3000-B10,"10.1 inch 1024x600, 2G + 512M + SD, 1 LAN (EtherNet Port), 2 USB, 2 COM, ",$498.33
HT3000-B10E,"10.1 inch 1024x600, 2G + 512M + SD, 1 LAN (EtherNet Port), 2 USB, 2 COM, Global 4G available",$857.13
HT3000-B10W,"10.1 inch 1024x600, 2G + 512M + SD, 1 LAN (EtherNet Port), 2 USB, 2 COM, WIFI available",$538.20
HT3000-D15,"15.6 inch 1920x1080, 4G + 1G + SD, 1 LAN (EtherNet Port), 2 USB, 3 COM, ","$1,495.00"
HT3000-D15E,"15.6 inch 1920x1080, 4G + 1G + SD, 1 LAN (EtherNet Port), 2 USB, 3 COM, Global 4G available","$1,933.53"
HT3000-D15W,"15.6 inch 1920x1080, 4G + 1G + SD, 1 LAN (EtherNet Port), 2 USB, 3 COM, WIFI available","$1,574.73"
HT3000-D15EW,"15.6 inch 1920x1080, 4G + 1G + SD, 1 LAN (EtherNet Port), 2 USB, 3 COM, WIFI and Global 4G available","$2,013.27"
H-BOX,"IoT BOX, 4G + 512M + SD, 2 LAN (EtherNet Port), 2 USB, 2 COM, WIFI available",$312.80
H-BOX-E,"IoT BOX, 4G + 512M + SD, 2 LAN (EtherNet Port), 2 USB, 2 COM, WIFI and Global 4G/3G/2G available",$607.20
H-BOX-M,"Cloud box, 2G + 256M, 1 LAN (EtherNet Port),1 COM, 8DI, WIFI available",$313.54
H-BOX-M-E,"Cloud box, 2G + 256M, 1 LAN (EtherNet Port),1 COM, 8DI, WIFI available, Global 4G available",$553.30
H-BOX-M pro,"Cloud box, 2G + 256M, 1 LAN (EtherNet Port),1 COM, 8digital points (DI/DO self-defined), WIFI available ",$351.11
H-BOX-M-E pro,"Cloud box, 2G + 256M, 1 LAN (EtherNet Port),1 COM, 8digital points (DI/DO self-defined), WIFI available, Global Mobile 4G available",$590.16
